eventTime,eventName,userName,sourceIPAddress,eventSource,awsRegion,userType
2025-04-10 00:54:13+00:00,AssumeRole,Unknown,cost-optimization-hub.bcm.amazonaws.com,sts.amazonaws.com,us-east-1,AWSService
2025-04-10 00:59:06+00:00,GetBucketAcl,Unknown,cloudtrail.amazonaws.com,s3.amazonaws.com,us-east-1,AWSService
2025-04-10 04:47:45+00:00,AssumeRole,Unknown,cost-optimization-hub.bcm.amazonaws.com,sts.amazonaws.com,us-east-1,AWSService
2025-04-10 04:47:46+00:00,ListCostAllocationTags,Unknown,cost-optimization-hub.bcm.amazonaws.com,ce.amazonaws.com,us-east-1,AssumedRole
2025-04-10 04:52:43+00:00,GetBucketAcl,Unknown,cloudtrail.amazonaws.com,s3.amazonaws.com,us-east-1,AWSService
2025-04-10 14:17:15+00:00,ListTrails,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,DescribeOrganization,arunesh-aws-v7,73.227.214.147,organizations.amazonaws.com,us-east-1,Root
2025-04-10 14:17:36+00:00,GetInsightSelectors,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:16+00:00,ListNotificationHubs,arunesh-aws-v7,73.227.214.147,notifications.amazonaws.com,us-east-1,Root
2025-04-10 14:17:56+00:00,GetBucketVersioning,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:18:00+00:00,GetBucketOwnershipControls,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:41+00:00,GetFeatureOptInStatus,arunesh-aws-v7,73.227.214.147,notifications.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,LookupEvents,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,DescribeRegions,arunesh-aws-v7,73.227.214.147,ec2.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,ListEventDataStores,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,LookupEvents,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,DescribeTrails,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,GetTrailStatus,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:36+00:00,GetEventSelectors,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:36+00:00,DescribeTrails,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:36+00:00,GetTrailStatus,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,GetFeatureOptInStatus,arunesh-aws-v7,73.227.214.147,notifications.amazonaws.com,us-east-1,Root
2025-04-10 14:17:41+00:00,GetBucketVersioning,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:42+00:00,GetBucketOwnershipControls,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:42+00:00,ListNotificationHubs,arunesh-aws-v7,73.227.214.147,notifications.amazonaws.com,us-east-1,Root
2025-04-10 14:17:56+00:00,GetBucketObjectLockConfiguration,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:56+00:00,ListBuckets,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:18:00+00:00,GetBucketVersioning,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:57+00:00,GetBucketOwnershipControls,arunesh-aws-v7,73.227.214.147,s3.amazonaws.com,us-east-1,Root
2025-04-10 14:17:10+00:00,ConsoleLogin,Unknown,73.227.214.147,signin.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,DescribeTrails,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:15+00:00,GetTrailStatus,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:17:36+00:00,ListTags,arunesh-aws-v7,73.227.214.147,cloudtrail.amazonaws.com,us-east-1,Root
2025-04-10 14:24:26+00:00,ListAccessKeys,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:26+00:00,DescribeRegisteredRegions,arunesh-aws-v7,73.227.214.147,sso.amazonaws.com,us-east-1,Root
2025-04-10 14:24:32+00:00,ListUsers,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:32+00:00,GetLoginProfile,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:33+00:00,ListGroupsForUser,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:33+00:00,ListAccessKeys,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:33+00:00,ListMFADevices,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:24:26+00:00,DescribeOrganization,arunesh-aws-v7,sso.amazonaws.com,organizations.amazonaws.com,us-east-1,Root
2025-04-10 14:24:35+00:00,DescribeOrganization,arunesh-aws-v7,73.227.214.147,organizations.amazonaws.com,us-east-1,Root
2025-04-10 14:24:32+00:00,DescribeOrganization,arunesh-aws-v7,73.227.214.147,organizations.amazonaws.com,us-east-1,Root
2025-04-10 14:24:35+00:00,DescribeOrganization,arunesh-aws-v7,73.227.214.147,organizations.amazonaws.com,us-east-1,Root
2025-04-10 14:25:30+00:00,ListPolicies,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:25:30+00:00,ListPolicies,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:25:30+00:00,ListPolicies,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:47+00:00,AttachUserPolicy,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:50+00:00,ListMFADevices,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:50+00:00,ListUserPolicies,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:50+00:00,GetUser,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:50+00:00,ListGroupsForUser,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
2025-04-10 14:26:47+00:00,AttachUserPolicy,arunesh-aws-v7,73.227.214.147,iam.amazonaws.com,us-east-1,Root
